survivaltime,status,gender,TOSecSch,livingINsch,familystructure,Deptatsecsch,base,sponsor,OlevelAttempts,zone,Fathersedu,Mothersedu,Educationisthebestlegacy,Schoolisscam,olevel
20,1,1,3,1,1,1,1,3,1,6,4,4,5,3,0
18,1,1,2,2,2,1,1,2,3,6,1,3,2,4,1
17,1,2,3,1,1,2,1,4,2,6,2,3,5,5,1
17,1,2,3,2,1,2,1,3,1,6,3,3,3,4,0
16,1,2,3,1,1,1,2,3,1,6,3,2,3,2,0
16,0,2,3,1,1,1,1,3,1,5,4,4,4,3,0
20,0,2,3,1,1,1,2,3,1,1,3,3,2,3,0
16,1,1,3,1,1,1,1,3,3,6,3,3,2,4,1
19,1,1,2,2,1,2,1,3,1,1,4,4,1,2,0
16,1,1,3,2,1,1,1,1,1,6,4,3,1,5,0
18,1,1,2,1,1,1,1,3,2,2,3,2,1,5,1
17,1,1,3,1,1,1,1,3,1,1,4,3,1,4,0
17,1,1,3,1,1,1,2,3,3,1,3,3,2,4,1
19,1,1,3,1,1,1,1,1,1,6,3,3,2,3,0
19,1,2,2,1,2,1,1,3,3,6,4,4,3,3,1
18,1,1,3,1,2,2,1,2,2,1,3,4,1,5,1
16,1,2,3,1,2,2,1,1,1,3,4,3,3,4,0
17,1,1,2,2,1,1,1,3,1,6,4,4,2,3,0
17,1,1,3,1,1,1,1,3,1,6,4,4,2,4,0
18,1,1,2,1,1,1,1,3,1,1,4,1,2,3,0
17,1,1,1,1,1,2,2,3,1,2,3,3,5,3,0
22,1,1,2,1,2,1,2,3,2,6,2,3,2,4,1
19,1,1,2,2,1,1,2,2,1,1,4,4,2,3,0
18,1,1,2,1,2,1,1,2,1,6,4,4,2,4,0
19,1,1,3,2,1,3,1,3,2,6,4,4,2,4,1
18,1,1,1,1,2,1,1,1,2,1,4,4,2,2,1
16,1,1,3,1,1,1,1,3,1,5,4,4,1,5,0
16,1,2,3,1,1,1,2,3,1,1,2,4,2,5,0
18,1,1,2,1,1,1,1,3,1,1,4,4,3,4,0
18,0,2,2,2,2,1,2,3,1,6,2,3,1,5,0
19,1,2,2,1,2,2,2,2,1,6,2,2,2,5,0
17,1,2,2,2,1,3,1,3,1,6,4,3,2,4,0
19,1,1,2,2,1,3,1,2,1,6,2,3,5,5,0
17,1,2,1,2,1,1,1,3,1,6,4,3,2,3,0
18,1,1,2,2,1,1,1,3,1,6,4,4,2,4,0
